time, joy, sadness, disgust, contempt, anger, fear, surprise, valence, engagement,smile, innerBrowRaise, browRaise, browFurrow, noseWrinkle, upperLipRaise, lipCornerDepressor, chinRaise, lipPucker, lipPress, lipSuck, mouthOpen, smirk, eyeClosure, attention, lidTighten, jawDrop, dimpler, eyeWiden, cheekRaise, lipStretch,interocularDistance,pitch,roll,yaw,Right_Top_Jaw_x,Right_Top_Jaw_y,Right_Jaw_Angle_x,Right_Jaw_Angle_y,Tip_of_Chin_x,Tip_of_Chin_y,Left_Jaw_Angle_x,Left_Jaw_Angle_y,Left_Top_Jaw_x,Left_Top_Jaw_y,Outer_Right_Brow_Corner_x,Outer_Right_Brow_Corner_y,Right_Brow_Center_x,Right_Brow_Center_y,Inner_Right_Brow_Corner_x,Inner_Right_Brow_Corner_y,Inner_Left_Brow_Corner_x,Inner_Left_Brow_Corner_y,Left_Brow_Center_x,Left_Brow_Center_y,Outer_Left_Brow_Corner_x,Outer_Left_Brow_Corner_y,Nose_Root_x,Nose_Root_y,Nose_Tip_x,Nose_Tip_y,Nose_Lower_Right_Boundary_x,Nose_Lower_Right_Boundary_y,Nose_Bottom_Boundary_x,Nose_Bottom_Boundary_y,Nose_Lower_Left_Boundary_x,Nose_Lower_Left_Boundary_y,Outer_Right_Eye_x,Outer_Right_Eye_y,Inner_Right_Eye_x,Inner_Right_Eye_y,Inner_Left_Eye_x,Inner_Left_Eye_y,Outer_Left_Eye_x,Outer_Left_Eye_y,Right_Lip_Corner_x,Right_Lip_Corner_y,Right_Apex_Upper_Lip_x,Right_Apex_Upper_Lip_y,Upper_Lip_Center_x,Upper_Lip_Center_y,Left_Apex_Upper_Lip_x,Left_Apex_Upper_Lip_y,Left_Lip_Corner_x,Left_Lip_Corner_y,Left_Edge_Lower_Lip_x,Left_Edge_Lower_Lip_y,Lower_Lip_Center_x,Lower_Lip_Center_y,Right_Edge_Lower_Lip_x,Right_Edge_Lower_Lip_y,Bottom_Upper_Lip_x,Bottom_Upper_Lip_y,Top_Lower_Lip_x,Top_Lower_Lip_y,Upper_Corner_Right_Eye_x,Upper_Corner_Right_Eye_y,Lower_Corner_Right_Eye_x,Lower_Corner_Right_Eye_y,Upper_Corner_Left_Eye_x,Upper_Corner_Left_Eye_y,Lower_Corner_Left_Eye_x,Lower_Corner_Left_Eye_y,mouth opening, mouth slant
0.533333333,99.49208832,2.64452E-05,0.00081695,0.000124135,3.87195E-06,6.58887E-06,0.239108041,97.99211884,0.033009417,0.023184732,5.54077E-06,0.000183263,0.020681923,8.31373E-05,0.001446171,0.003831733,0.003720867,0.000536367,8.376691818,0.000894548,1.51E-11,95.79645538,0.452903181,0.230446175,0.001813959,0.053853281,0.013127204,0.001130931,60.9332695,-10.91309452,7.835490704,6.368516445,96.18850708,77.36474609,109.397789,115.4913559,135.8501892,134.7494812,166.6242981,119.7490616,183.8935699,82.80189514,101.7803116,40.16274261,114.75914,34.28519058,129.5152893,39.20319366,146.3454895,40.47005463,162.6517639,36.3853035,177.1813965,44.69949341,137.0317078,52.7268486,135.177002,79.20684052,126.1748276,86.2335434,135.0386353,89.98603821,145.09198,87.36704254,107.4290771,52.17485809,124.6975174,55.48227692,150.3183441,56.61320877,168.3219299,54.3938446,117.6385574,102.0002441,130.2823792,95.49234009,134.8112335,96.78790283,139.3509827,96.02276611,153.6538696,103.4741974,147.6140137,113.2508316,134.9272156,117.5718689,122.8858871,111.4391174,134.7610779,101.5879822,135.1506195,108.9113235,115.9614716,48.31626511,114.815239,55.46035004,158.7948456,49.9056778,159.4266815,56.89091873,0.203456804,-0.257348008,,
0.6,99.53684998,2.43826E-05,0.000822272,0.000120689,4.00671E-06,6.36888E-06,0.250253946,98.36729431,0.030436104,0.020742752,4.77862E-06,0.00015577,0.016936844,8.25613E-05,0.00227271,0.004331656,0.00459729,0.000556425,10.09414387,0.000801672,1.68E-11,97.85131073,0.487628073,0.39363867,0.001735341,0.018418403,0.021796279,0.001079104,60.76839828,-11.84383202,8.082485199,2.907050133,94.96250153,76.4133606,109.0619125,115.3565292,134.7681885,139.34375,164.1535797,122.0449142,181.2954102,82.00085449,102.9223328,39.45756531,116.2699051,34.34684372,130.6461639,38.95406342,146.3486481,40.28495407,163.0381927,36.28678513,177.3474579,43.71974945,138.018219,52.42989731,136.4796448,80.51098633,127.1002579,85.85302734,136.4591064,89.8986969,145.8877106,87.38682556,107.5778885,52.32258224,125.4915924,55.15833282,150.9973907,56.0092392,168.3236389,53.98152924,118.0794678,101.5089111,131.4365082,95.3500824,135.6729279,96.89550018,140.2470398,95.95262146,154.9550476,103.4498215,147.7436523,114.6630859,134.8455505,119.5630798,123.6136932,113.0446243,135.5227051,101.3505096,135.0082092,111.0566864,116.5600739,48.4163475,115.6789322,55.86297226,159.1539917,49.62265396,159.6812592,56.42440033,0.263219386,-1.452755594,,
0.666666667,99.51023865,2.44931E-05,0.000856625,0.00012457,4.22012E-06,6.52894E-06,0.255131155,97.94509888,0.028932191,0.020089842,5.34301E-06,0.000196514,0.02540762,8.16218E-05,0.002141811,0.007275756,0.003171914,0.000521224,10.80659676,0.000688887,1.06E-11,97.74903107,0.485561103,0.476531416,0.001362526,0.012864609,0.019023113,0.000973976,61.73334122,-10.30563927,8.058582306,3.144788742,95.29658508,77.39354706,108.3228073,116.7227936,134.198288,141.2378693,163.9615021,122.5994492,181.2842407,83.80916595,102.8080673,40.05144501,116.1102982,34.63238907,130.7429047,39.05298615,145.9685822,40.32865906,162.6863251,36.15836716,177.2580872,43.43835068,138.3072205,52.57928085,136.5816498,79.97366333,127.085701,85.5205307,136.5927887,89.65643311,145.9965363,87.11118317,107.2323914,52.67128754,125.488884,55.4701004,151.2874603,56.03285217,168.9523621,53.95609665,116.9835281,101.8212204,130.9790497,95.15457916,135.4262848,96.79898834,140.0784149,95.73330688,155.0204163,103.4115219,147.6581726,115.3114395,134.3459625,120.4451904,122.3435059,113.9705276,135.2892151,101.4165039,134.5691376,111.9974518,116.2693863,48.71467972,115.464859,56.06762314,159.5191193,49.72350693,160.1142883,56.29843521,0.27857601,-1.203664049,,
0.733333333,99.46256256,2.54679E-05,0.000888438,0.000129976,4.36651E-06,6.75837E-06,0.255450368,97.37873077,0.031374175,0.021936717,8.17739E-06,0.000210362,0.027218264,9.11802E-05,0.00213753,0.006999748,0.003198083,0.000485676,10.77078438,0.000723256,8.58E-12,97.29945374,0.440383285,0.576303303,0.001409694,0.014108111,0.013312543,0.000976004,61.29931259,-7.018547535,7.454114914,4.078297138,96.06941986,80.75439453,109.3861694,121.7970963,136.0882263,149.6594543,165.621582,128.1126251,181.2010956,86.33087921,103.0241547,41.9188118,115.5345154,35.61560059,130.3263855,39.96205139,146.2729492,41.44056702,163.3973083,37.55555725,177.652359,45.84797287,137.9775543,53.36412811,136.5985107,80.67730713,126.6791,85.77437592,136.5727234,90.56155396,146.629776,87.42177582,107.5825348,53.1612587,125.8985672,55.81734085,150.8662415,56.8392868,168.8559723,54.94216919,116.3707581,102.2156525,130.9888153,95.32063293,135.855957,97.00808716,140.9168854,96.00509644,156.4852905,104.4206772,149.7582397,118.8568039,135.2119904,125.2678223,121.9498062,117.4075089,135.7206421,101.1712723,135.3777008,116.7413406,116.5884857,48.88500977,115.7676468,56.48144913,159.5120392,50.24217224,159.9604034,57.19064331,0.38764928,-1.48618895,,
0.8,99.33159637,2.86436E-05,0.000943787,0.000142446,4.56882E-06,7.35714E-06,0.248285294,96.15732574,0.03747122,0.022515107,6.91277E-06,0.000258422,0.026382424,0.000107128,0.001487661,0.006967947,0.002689849,0.000448933,9.697790146,0.000788512,4.04E-12,97.91629791,0.438713521,0.48262006,0.001375521,0.016700497,0.012805934,0.000994107,62.68131256,-6.916065216,8.427109718,2.750157118,95.82007599,81.28282166,107.3278122,119.3341293,133.640564,144.9569855,162.9559631,125.4667435,179.8447266,88.37026978,102.6934814,41.2576828,115.7954865,35.06191254,130.6230469,39.50517273,146.1457367,40.81389236,162.7803497,36.68872452,177.2559509,44.42551422,138.2717438,52.79860306,136.6399384,79.94776917,126.7768478,85.04064178,136.3151855,89.89616394,146.2298279,86.80005646,106.8058167,52.60638428,125.6922607,55.42806625,150.7806396,56.44131088,169.4533386,54.66433334,115.4362183,102.5187607,130.4724579,95.60263824,135.3646545,97.36910248,140.5663147,96.23516846,156.390213,104.0749435,148.349762,117.5020447,133.9225159,123.5823288,120.8536377,116.3279877,135.0884399,101.6928864,134.3366547,115.4655838,116.2533417,48.78068924,115.1803207,55.86338806,159.7296143,50.21347809,160.1579285,56.68366241,0.336554551,-0.295363034,,
0.866666667,99.25447083,3.06674E-05,0.000963884,0.000148697,4.61083E-06,7.6388E-06,0.242885321,95.58490753,0.039728865,0.021897618,6.82744E-06,0.000305212,0.024807205,0.000109809,0.001500668,0.007262758,0.002743993,0.000450019,8.799221992,0.000918804,3.42E-12,97.60025024,0.458769083,0.502855241,0.001674169,0.016916588,0.015759924,0.00106161,62.08824158,-8.17812252,8.543420792,3.472409964,96.79360962,80.37267303,108.9202499,118.8484116,134.5444336,144.2741699,163.7913666,125.2016068,180.8356171,87.01786804,103.6039276,40.74525452,116.4883423,34.97588348,130.8301086,39.61117554,147.009903,41.00241089,163.3311157,36.93636703,177.4445038,44.52695084,138.6275482,52.87410355,136.8643646,80.49828339,127.0482788,85.53927612,136.6447754,90.20996094,146.7195282,87.13331604,107.5096512,52.59412766,126.0773544,55.42299652,151.3033905,56.41711807,169.5661011,54.58083344,116.9915009,102.5086899,131.1875763,95.82119751,135.8464355,97.57956696,140.7523346,96.45511627,155.8832397,104.4080048,148.4064789,117.4375153,134.6234741,123.2871857,122.0888062,115.9822693,135.6243744,101.9430847,135.0270081,114.9599152,116.7316284,48.46521378,115.7276001,56.05539703,159.9932861,49.9024353,160.4092407,56.89415359,0.334647405,-0.965216192,,
0.933333333,99.18782806,3.23144E-05,0.000981267,0.000153857,4.64971E-06,7.86646E-06,0.239077091,95.13017273,0.041368999,0.020539567,6.92651E-06,0.000310533,0.025778687,0.000109272,0.001771377,0.00758228,0.003784682,0.000539753,8.143395424,0.001019667,1.16E-11,97.50232697,0.457529068,0.532476246,0.001670365,0.016593305,0.012401694,0.001024174,61.5108223,-8.043493271,9.24952507,3.677405119,96.54813385,80.1166153,109.2076874,119.1455688,134.0015717,144.4151917,162.8884583,125.7336044,180.6233673,87.18217468,104.0488892,40.97639847,117.0181198,35.44423676,131.3074799,40.09257126,147.0154724,41.32621384,163.3331909,36.9919014,177.5346832,44.71229553,138.7854919,52.96773529,136.6206055,80.89463043,126.9749527,85.70953369,136.4020691,90.52507782,146.4125824,87.54139709,107.8716354,52.94799423,126.2322006,55.67459869,151.5590973,56.75067139,169.3540649,54.81676483,117.1034088,102.405632,130.8829498,95.63114929,135.3790741,97.40201569,140.1364288,96.32608032,155.1633148,104.3717194,147.9376831,117.3963089,134.2087708,123.0656586,121.8869019,115.8024216,135.2368469,101.9585342,134.5496063,114.4360352,116.974472,48.96784973,116.1319275,56.29089355,159.9435425,50.34049988,160.4409637,57.08577347,0.327898142,-1.219983283,,
1,99.15716553,3.29786E-05,0.000991244,0.000156275,4.69431E-06,7.95635E-06,0.238272801,94.92243195,0.042873535,0.018312145,7.10791E-06,0.00034061,0.024839558,9.63131E-05,0.002019501,0.00832896,0.005767474,0.000535287,7.953742981,0.001149259,2.95E-11,97.7457428,0.496648014,0.605479836,0.001850508,0.015034935,0.013844286,0.00113061,61.79400253,-8.779913902,9.171367645,3.152249336,96.59658813,79.39338684,108.4578018,117.6255951,134.1582794,142.098938,163.8107605,124.4054413,180.7850952,86.70592499,103.6506577,41.05398941,116.7706299,35.46305847,131.3500366,40.06266785,147.6348114,41.32181168,163.9574585,37.15068054,178.097229,45.05231857,138.8788147,53.17898941,136.9304657,80.74816132,127.1333237,85.9526825,136.5888214,90.44425201,146.8010712,87.651474,108.0300064,52.80702591,126.1106949,55.70478439,152.0787811,56.73290634,169.7895508,54.87039185,117.7061768,102.0934143,131.167099,96.07342529,135.7367249,97.76174927,140.5691071,96.75637054,155.4257202,104.2280655,148.0372467,115.9096756,134.8316498,120.8109207,122.9277649,114.0764694,135.582428,102.2186508,135.2187958,112.4106293,117.0463257,48.93271637,116.1415863,56.2340889,160.4160919,50.33574295,160.8683472,57.09719086,0.269944172,-1.330567376,,
1.066666667,98.97380829,3.61925E-05,0.001061192,0.000170542,4.98562E-06,8.5761E-06,0.236051291,93.75777435,0.050775323,0.019174131,8.50416E-06,0.00036019,0.025779495,0.000107635,0.002039724,0.009313154,0.006794561,0.000568244,7.509688377,0.001269992,1.96E-11,97.2143631,0.45150727,0.681958973,0.001566295,0.013161158,0.008911407,0.001038371,61.57750702,-7.987898827,8.991997719,4.237793446,95.85353851,79.83716583,109.346283,121.2233734,135.1222839,148.4459686,164.625412,127.7153473,181.6278992,87.0589447,103.3699799,42.36264038,116.2681732,36.36619568,130.864563,41.25447464,146.5463257,42.53485489,163.7313232,38.69816971,177.928299,47.1772728,138.0606079,54.0559082,136.4911957,81.58100128,126.2958679,86.46718597,136.2594757,91.57234192,146.8251038,88.16916656,107.5583115,53.56571198,125.7580032,56.62104797,151.1061707,57.86340714,169.084549,56.0779953,115.959671,102.9824524,130.8210602,95.65872192,135.4182281,97.50559998,140.2834473,96.4300766,155.5250702,105.6401978,149.062149,119.612793,134.6658936,125.6339493,121.3585052,117.7643356,135.2330933,102.0973206,135.0545959,116.750679,116.7538757,49.31946945,115.7297058,57.25858307,159.8615417,51.17455673,160.181076,58.59104538,0.369552561,-1.513013569,,
1.133333333,98.67929077,3.95894E-05,0.001192293,0.000192622,5.64581E-06,9.50797E-06,0.240288973,92.13504028,0.060022138,0.02065997,8.61513E-06,0.000390442,0.025778167,0.000105258,0.001989042,0.009990917,0.008079434,0.000507978,8.075735092,0.001674001,1.01E-11,97.64315033,0.406928539,0.850774229,0.001503435,0.018092766,0.006975666,0.001017984,61.42941284,-7.33140707,8.431429863,3.380023241,96.3752594,81.14569092,108.2624054,119.5471115,133.6346588,144.6187744,162.9178772,125.5142822,179.9100342,88.47966003,103.0978012,41.84074783,115.9759903,35.72271347,130.5574646,40.43507004,146.6150208,41.46867371,162.8295288,37.07426453,176.9428711,45.02620316,138.1642303,53.54826355,136.3130341,80.83789825,126.871109,86.068573,136.1342621,90.66501617,145.8183441,87.55158234,107.497879,53.46947861,125.7405472,56.26456451,150.790329,57.02363968,168.9054413,55.1078186,116.8975296,102.7771072,130.6596985,96.01195526,135.1411133,97.70751953,139.8597412,96.71144867,155.1714325,104.4811707,147.7275391,117.4578781,134.2134552,123.1146393,121.9813614,116.0272903,134.9421692,102.0056305,134.6259003,114.8236389,116.6004715,49.15006256,115.6658783,56.91178894,159.326767,50.3235817,159.8672028,57.41831589,0.334672431,-1.02344008,,
